"time","E_gtco2"
2020,38.4464391313595
2021,28.7847606916525
2022,28.5801613021181
2023,28.3630782579619
2024,28.1342934703265
2025,27.8946465239159
2026,27.5809392121824
2027,27.2570040867957
2028,26.9236133064917
2029,26.5814234920021
2030,27.3641351786
2031,26.95332604668
2032,26.54251691476
2033,26.13170778284
2034,25.72089865092
2035,25.310089519
2036,24.89928038708
2037,24.48847125516
2038,24.07766212324
2039,23.66685299132
2040,23.2560438594
2041,22.74751016296
2042,22.23897646652
2043,21.73044277008
2044,21.22190907364
2045,20.7133753772
2046,20.20484168076
2047,19.69630798432
2048,19.18777428788
2049,18.67924059144
2050,18.170706895
2051,17.58447736166
2052,16.99824782832
2053,16.41201829498
2054,15.82578876164
2055,15.2395592283
2056,14.65332969496
2057,14.06710016162
2058,13.48087062828
2059,12.89464109494
2060,12.3084115616
2061,11.54879642796
2062,10.78918129432
2063,10.02956616068
2064,9.26995102704
2065,8.5103358934
2066,7.75072075976
2067,6.99110562612
2068,6.23149049248
2069,5.47187535884
2070,4.7122602252
2071,4.18389304102
2072,3.65552585684
2073,3.12715867266
2074,2.59879148848
2075,2.0704243043
2076,1.54205712012
2077,1.01368993594
2078,0.48532275176
2079,0
2080,0
2081,0
2082,0
2083,0
2084,0
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
2160,0
2161,0
2162,0
2163,0
2164,0
2165,0
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,0
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,0
2190,0
2191,0
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
2209,0
2210,0
2211,0
2212,0
2213,0
2214,0
2215,0
2216,0
2217,0
2218,0
2219,0
2220,0
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,0
2248,0
2249,0
2250,0
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,0
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,0
2286,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
