time,p_minus_i
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,35.82293158227247
2031,41.38329600285
2032,47.18275250692835
2033,53.09015979753969
2034,58.975653379311375
2035,65.10078600698321
2036,70.62941949360673
2037,76.12832251892222
2038,81.5981410424629
2039,87.29694566830578
2040,92.71026927813023
2041,100.11021934846023
2042,107.33702900103803
2043,114.64642085576533
2044,122.03755922546686
2045,129.38328184996666
2046,136.60854275056735
2047,143.8339866824521
2048,151.3139994685751
2049,158.5460545579516
2050,166.03696521748276
2051,172.34149958472997
2052,178.79636101900337
2053,185.27717633874425
2054,192.03852379408139
2055,198.82963375174492
2056,205.39913200190213
2057,211.99693203259537
2058,218.87848313771616
2059,226.0461552693817
2060,232.9926810250307
2061,242.4203927119311
2062,251.89573130921698
2063,261.67628337644555
2064,271.5077258745703
2065,281.64868733278405
2066,291.77052219689404
2067,302.1985160045444
2068,312.675937011195
2069,323.46351145140324
2070,334.56391438674
2071,342.48190081711994
2072,350.70192351141907
2073,358.96403921263146
2074,367.2685156644824
2075,375.61559040176087
2076,384.4792048549739
2077,393.1198337588155
2078,402.06716302718485
2079,481.42628600347996
2080,480.9448597174765
2081,480.463914857759
2082,479.9834509429012
2083,479.50346749195836
2084,479.02396402446635
2085,478.5449400604419
2086,478.06639512038146
2087,477.5883287252611
2088,477.11074039653585
2089,476.6336296561393
2090,476.15699602648317
2091,475.6808390304567
2092,475.2051581914262
2093,474.72844928048534
2094,474.2552230802016
2095,473.7809678571213
2096,473.30718688926424
2097,472.83387970237493
2098,472.3610458226726
2099,471.8886847768499
2100,471.41679609207307
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.0
2138,0.0
2139,0.0
2140,0.0
2141,0.0
2142,0.0
2143,0.0
2144,0.0
2145,0.0
2146,0.0
2147,0.0
2148,0.0
2149,0.0
2150,0.0
2151,0.0
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2159,0.0
2160,0.0
2161,0.0
2162,0.0
2163,0.0
2164,0.0
2165,0.0
2166,0.0
2167,0.0
2168,0.0
2169,0.0
2170,0.0
2171,0.0
2172,0.0
2173,0.0
2174,0.0
2175,0.0
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,0.0
2181,0.0
2182,0.0
2183,0.0
2184,0.0
2185,0.0
2186,0.0
2187,0.0
2188,0.0
2189,0.0
2190,0.0
2191,0.0
2192,0.0
2193,0.0
2194,0.0
2195,0.0
2196,0.0
2197,0.0
2198,0.0
2199,0.0
2200,0.0
2201,0.0
2202,0.0
2203,0.0
2204,0.0
2205,0.0
2206,0.0
2207,0.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2212,0.0
2213,0.0
2214,0.0
2215,0.0
2216,0.0
2217,0.0
2218,0.0
2219,0.0
2220,0.0
2221,0.0
2222,0.0
2223,0.0
2224,0.0
2225,0.0
2226,0.0
2227,0.0
2228,0.0
2229,0.0
2230,0.0
2231,0.0
2232,0.0
2233,0.0
2234,0.0
2235,0.0
2236,0.0
2237,0.0
2238,0.0
2239,0.0
2240,0.0
2241,0.0
2242,0.0
2243,0.0
2244,0.0
2245,0.0
2246,0.0
2247,0.0
2248,0.0
2249,0.0
2250,0.0
2251,0.0
2252,0.0
2253,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,0.0
2260,0.0
2261,0.0
2262,0.0
2263,0.0
2264,0.0
2265,0.0
2266,0.0
2267,0.0
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2282,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2297,0.0
2298,0.0
2299,0.0
2300,0.0
