"time","global_revenue"
2020,0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,1.3723782386660066e8
2031,2.1601314375800753e8
2032,3.0485233608908683e8
2033,4.05082070766909e8
2034,5.144802339530602e8
2035,6.332948984680033e8
2036,8.064784552923418e8
2037,9.868070639441208e8
2038,1.1721165006797118e9
2039,1.3601017387700317e9
2040,1.5458418565873592e9
2041,1.7144111853336728e9
2042,1.8773922217216406e9
2043,2.0326366227427843e9
2044,2.1778872870614386e9
2045,2.3107709580687246e9
2046,2.371203708210952e9
2047,2.4293281485296726e9
2048,2.481423309420771e9
2049,2.5265904002864776e9
2050,2.5638911760933604e9
2051,2.5987228155301986e9
2052,2.62916171745116e9
2053,2.656033509494878e9
2054,2.675836877409692e9
2055,2.6892287025730314e9
2056,2.689652179495204e9
2057,2.684849651856791e9
2058,2.6740610118558936e9
2059,2.6566861327150335e9
2060,2.6311426970713825e9
2061,2.6034312423800797e9
2062,2.5719573155829015e9
2063,2.536768590485958e9
2064,2.492859529742017e9
2065,2.4422907873013864e9
2066,2.382948774348348e9
2067,2.313929701638279e9
2068,2.2340226506904726e9
2069,2.1419505904757051e9
2070,2.0393894691594214e9
2071,1.9230087166838796e9
2072,1.7915577910429823e9
2073,1.6436479980130825e9
2074,1.47783032729467e9
2075,1.2882638147362838e9
2076,1.0804011058488548e9
2077,8.504735023243359e8
2078,5.969406699420656e8
2079,3.1267948679806596e8
2080,2.818150800496792e-7
2081,4.95422168996714e-7
2082,9.574587070865829e-8
2083,3.5492453650185627e-7
2084,1.0975262601655585e-7
2085,9.36394017507047e-7
2086,1.0225114128522171e-7
2087,6.34865767290617e-7
2088,2.1429649736484277e-7
2089,1.831924954455776e-7
2090,1.645397889130987e-7
2091,1.212277834021364e-7
2092,1.6189156000035146e-7
2093,1.306107531643251e-7
2094,1.3601797931937094e-7
2095,9.723288711856298e-8
2096,9.123657810202056e-7
2097,3.787467563014353e-8
2098,1.3279016738659914e-7
2099,1.394362820111295e-7
2100,1.626105748333662e-7
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.0
2138,0.0
2139,0.0
2140,0.0
2141,0.0
2142,0.0
2143,0.0
2144,0.0
2145,0.0
2146,0.0
2147,0.0
2148,0.0
2149,0.0
2150,0.0
2151,0.0
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2159,0.0
2160,0.0
2161,0.0
2162,0.0
2163,0.0
2164,0.0
2165,0.0
2166,0.0
2167,0.0
2168,0.0
2169,0.0
2170,0.0
2171,0.0
2172,0.0
2173,0.0
2174,0.0
2175,0.0
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,0.0
2181,0.0
2182,0.0
2183,0.0
2184,0.0
2185,0.0
2186,0.0
2187,0.0
2188,0.0
2189,0.0
2190,0.0
2191,0.0
2192,0.0
2193,0.0
2194,0.0
2195,0.0
2196,0.0
2197,0.0
2198,0.0
2199,0.0
2200,0.0
2201,0.0
2202,0.0
2203,0.0
2204,0.0
2205,0.0
2206,0.0
2207,0.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2212,0.0
2213,0.0
2214,0.0
2215,0.0
2216,0.0
2217,0.0
2218,0.0
2219,0.0
2220,0.0
2221,0.0
2222,0.0
2223,0.0
2224,0.0
2225,0.0
2226,0.0
2227,0.0
2228,0.0
2229,0.0
2230,0.0
2231,0.0
2232,0.0
2233,0.0
2234,0.0
2235,0.0
2236,0.0
2237,0.0
2238,0.0
2239,0.0
2240,0.0
2241,0.0
2242,0.0
2243,0.0
2244,0.0
2245,0.0
2246,0.0
2247,0.0
2248,0.0
2249,0.0
2250,0.0
2251,0.0
2252,0.0
2253,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,0.0
2260,0.0
2261,0.0
2262,0.0
2263,0.0
2264,0.0
2265,0.0
2266,0.0
2267,0.0
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2282,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2297,0.0
2298,0.0
2299,0.0
2300,0.0
