"time","total_tax_revenue"
2020,0.0
2021,0.0
2022,0.0
2023,0.0
2024,0.0
2025,1.637511159456375e9
2026,1.6437474771288536e9
2027,1.6494537215111914e9
2028,1.654698465740461e9
2029,1.659544928323681e9
2030,1.6640528134150982e9
2031,1.7315474696647465e9
2032,1.8004482329996939e9
2033,1.8707096227867928e9
2034,1.9422714436326046e9
2035,2.0150569093191972e9
2036,2.0851689961473567e9
2037,2.1558969996862426e9
2038,2.2270940553783574e9
2039,2.2985896396238832e9
2040,2.3701857225896883e9
2041,2.4375102126330175e9
2042,2.504043674569137e9
2043,2.5694735904280715e9
2044,2.6334450892935753e9
2045,2.695557436968938e9
2046,2.750872731483711e9
2047,2.8029911109801507e9
2048,2.8513491110068192e9
2049,2.8953227182760324e9
2050,2.9342236127064414e9
2051,2.979189046136298e9
2052,3.019760045143697e9
2053,3.0553121194588656e9
2054,3.085157144419385e9
2055,3.1085347816471376e9
2056,3.119970387645339e9
2057,3.1228907384151177e9
2058,3.116315470293872e9
2059,3.099175667967938e9
2060,3.070299680432556e9
2061,3.024111924442159e9
2062,2.963354021098898e9
2063,2.886548855344474e9
2064,2.79208620326893e9
2065,2.6782135938885436e9
2066,2.5392794014817553e9
2067,2.3769541858281956e9
2068,2.1890636597879953e9
2069,2.0841041416373703e9
2070,2.0166185676321213e9
2071,1.931065626701343e9
2072,1.8289821218290346e9
2073,1.7086841026513712e9
2074,1.5683268796465862e9
2075,1.4058955712727706e9
2076,1.217177880025305e9
2077,1.1170292863353872e9
2078,1.1072672335471022e9
2079,1.0904074212157347e9
2080,1.0655048294560602e9
2081,1.0299368053611338e9
2082,9.842149683668079e8
2083,9.271299709960577e8
2084,8.573487528835484e8
2085,7.734012731793151e8
2086,6.727487668655019e8
2087,5.54824119321874e8
2088,4.1776511830992043e8
2089,2.5953090962739787e8
2090,7.788644613312602e7
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.0
2138,0.0
2139,0.0
2140,0.0
2141,0.0
2142,0.0
2143,0.0
2144,0.0
2145,0.0
2146,0.0
2147,0.0
2148,0.0
2149,0.0
2150,0.0
2151,0.0
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2159,0.0
2160,0.0
2161,0.0
2162,0.0
2163,0.0
2164,0.0
2165,0.0
2166,0.0
2167,0.0
2168,0.0
2169,0.0
2170,0.0
2171,0.0
2172,0.0
2173,0.0
2174,0.0
2175,0.0
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,0.0
2181,0.0
2182,0.0
2183,0.0
2184,0.0
2185,0.0
2186,0.0
2187,0.0
2188,0.0
2189,0.0
2190,0.0
2191,0.0
2192,0.0
2193,0.0
2194,0.0
2195,0.0
2196,0.0
2197,0.0
2198,0.0
2199,0.0
2200,0.0
2201,0.0
2202,0.0
2203,0.0
2204,0.0
2205,0.0
2206,0.0
2207,0.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2212,0.0
2213,0.0
2214,0.0
2215,0.0
2216,0.0
2217,0.0
2218,0.0
2219,0.0
2220,0.0
2221,0.0
2222,0.0
2223,0.0
2224,0.0
2225,0.0
2226,0.0
2227,0.0
2228,0.0
2229,0.0
2230,0.0
2231,0.0
2232,0.0
2233,0.0
2234,0.0
2235,0.0
2236,0.0
2237,0.0
2238,0.0
2239,0.0
2240,0.0
2241,0.0
2242,0.0
2243,0.0
2244,0.0
2245,0.0
2246,0.0
2247,0.0
2248,0.0
2249,0.0
2250,0.0
2251,0.0
2252,0.0
2253,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,0.0
2260,0.0
2261,0.0
2262,0.0
2263,0.0
2264,0.0
2265,0.0
2266,0.0
2267,0.0
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2282,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2297,0.0
2298,0.0
2299,0.0
2300,0.0
